Plate information ,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,
1,1,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,5/24/22 15:08,,,,,
,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,
1,US LUM 384 (cps),0,260,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,,,,,,,
,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,
A,2949160,3410400,3031280,,4913280,4470320,5358400,,17724560,18209040,16634760,,,,,
B,276280,340920,396920,,432880,396520,778400,,15447680,16208400,17467280,,,,,
C,37480,45080,55440,,58160,77880,104200,,39187400,42769400,42036040,,,,,
D,9400,10240,13640,,22080,35120,45280,,7158560,8417320,8478360,,,,,
E,4720,6040,7120,,12880,19880,28800,,58440,62640,43360,,,,,
F,3760,4560,5800,,9720,13200,19880,,2730320,2907880,2790760,,,,,
G,2920,3760,4920,,7280,10560,13560,,,,,,,,,
H,2840,3080,4280,,6080,7840,8960,,,,,,,,,
,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date
1,1,,14.44,24.77,24.77,47,47.2,-273.15,-273.15,1,US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A,0,5/24/22 15:08
,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,
