Plate information ,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date
1,1,,14.53,25.02,24.95,44,44.2,22.36,22.28,1,US LUM 96 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A,0,11/6/2020 16:31
,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,
1,US LUM 96 (cps),0,716,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,,,,,,,
,,,,,,,,,,,,,,,,
Results for US LUM 96 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,
A,,,,,,,,,,,,,,,,
B,,13423400,19734320,77814520,,10526080,20736120,74685680,,,,,,,,
C,,246600,1467640,14319600,,133080,67640,1378040,,,,,,,,
D,,6160,122280,1299800,,18320,15000,493360,3638520,3353400,2975560,,,,,
E,,266200,1364560,19312200,,14971520,1705560,17022120,,,,,,,,
F,,14760,14040,551960,,7431160,159560,6072320,,,,,,,,
G,,2480,3880,55560,,517440,2920,53160,,,,,,,,
H,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date
1,2,,14.53,24.95,24.95,44.2,43.9,22.28,22.28,1,US LUM 96 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A,0,11/6/2020 16:32
,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,
1,US LUM 96 (cps),0,716,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,,,,,,,
,,,,,,,,,,,,,,,,
Results for US LUM 96 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,
A,,,,,,,,,,,,,,,,
B,,13400400,19801560,76145080,,11215240,22024040,74701240,,,,,,,,
C,,245000,1489120,14398920,,138000,67000,1437720,,,,,,,,
D,,6440,122960,1290120,,17080,13720,498960,3715000,3311120,2978720,,,,,
E,,261040,1401040,18756080,,15127720,1790760,17548080,,,,,,,,
F,,14440,13560,519760,,7365440,149880,6022280,,,,,,,,
G,,2480,3840,52080,,518880,2760,54160,,,,,,,,
H,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date
1,3,,14.53,24.95,25,44,44,22.28,22.28,1,US LUM 96 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A,0,11/6/2020 16:33
,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,
1,US LUM 96 (cps),0,716,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,,,,,,,
,,,,,,,,,,,,,,,,
Results for US LUM 96 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,
A,,,,,,,,,,,,,,,,
B,,12722000,19028280,71849800,,11523120,22678880,72485440,,,,,,,,
C,,234920,1452120,14084440,,134920,65920,1469240,,,,,,,,
D,,6200,116680,1262560,,16640,14520,494960,3654440,3229880,2934920,,,,,
E,,254920,1361680,17724080,,15077680,1874600,17966040,,,,,,,,
F,,14200,12760,494080,,7196840,145840,5908360,,,,,,,,
G,,2040,3760,51040,,522120,2560,53800,,,,,,,,
H,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date
1,4,,14.53,25,24.95,43.9,43.7,22.28,22.38,1,US LUM 96 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A,0,11/6/2020 16:34
,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,
1,US LUM 96 (cps),0,716,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,,,,,,,
,,,,,,,,,,,,,,,,
Results for US LUM 96 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,
A,,,,,,,,,,,,,,,,
B,,12086840,18320360,67854760,,11685560,23053680,70169880,,,,,,,,
C,,226600,1426840,13756120,,137040,61960,1484680,,,,,,,,
D,,6360,113280,1227880,,15880,13400,490680,3675360,3212040,2944560,,,,,
E,,254680,1329520,16790120,,14996480,1950640,18201440,,,,,,,,
F,,14280,12320,471920,,6980040,143360,5732000,,,,,,,,
G,,2640,3360,49280,,517720,2600,52080,,,,,,,,
H,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date
1,5,,14.53,24.95,25,43.6,43.4,22.38,22.38,1,US LUM 96 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A,0,11/6/2020 16:35
,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,
1,US LUM 96 (cps),0,716,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,,,,,,,
,,,,,,,,,,,,,,,,
Results for US LUM 96 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,
A,,,,,,,,,,,,,,,,
B,,11502640,17584200,64052120,,11731680,23232800,67744240,,,,,,,,
C,,223480,1388480,13403680,,135440,61760,1485280,,,,,,,,
D,,5920,113440,1199160,,15520,14040,477960,3682680,3208040,2955440,,,,,
E,,245800,1298280,15992120,,14827120,2020400,18325880,,,,,,,,
F,,13440,12600,451240,,6756440,142680,5544280,,,,,,,,
G,,2320,3600,51080,,507720,2480,52560,,,,,,,,
H,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date
1,6,,14.53,24.95,24.95,43.4,43.3,22.38,22.28,1,US LUM 96 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A,0,11/6/2020 16:36
,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,
1,US LUM 96 (cps),0,716,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,,,,,,,
,,,,,,,,,,,,,,,,
